Property_ID,Property_Type,Location,Bedrooms,Bathrooms,Size_sqft,Price_AED,Price_per_sqft,Furnishing,Year_Built,Listing_Date,Amenities,View_Type,Parking_Spaces,Property_Age
DXB00001,Penthouse,Palm Jumeirah,5,5,5068,11408068,2251,Unfurnished,2011,2025-05-17,"Jacuzzi, Pets Allowed, Study Room, Concierge, Security",City View,4,14
DXB00002,Townhouse,Bur Dubai,4,4,3504,5995344,1711,Semi-Furnished,2013,2025-03-02,"Security, Gym, BBQ Area",Marina View,4,12
DXB00003,Apartment,Motor City,2,1,1107,1623969,1467,Furnished,2020,2025-02-15,"Swimming Pool, Gym, Storage",Sea View,3,5
DXB00004,Townhouse,Mirdif,4,4,2799,4338450,1550,Semi-Furnished,2023,2025-09-16,"Parking, Steam Room, Maid Room, Concierge, BBQ Area, Study Room, Childrens Play Area, Sauna",Marina View,4,2
DXB00005,Townhouse,The Greens,4,3,2923,3744363,1281,Furnished,2012,2025-07-20,"Childrens Play Area, Garden, Maid Room, Gym, Study Room",Sea View,4,13
DXB00006,Apartment,International City,4,3,1616,3135040,1940,Furnished,2013,2025-01-07,"Maid Room, Balcony, Parking, BBQ Area, Storage, Sauna, Pets Allowed",Garden View,4,12
DXB00007,Villa,Jumeirah Village Circle,3,3,4110,6621210,1611,Furnished,2022,2025-03-23,"Swimming Pool, Childrens Play Area, Concierge, Gym",Garden View,4,3
DXB00008,Studio,Town Square,0,1,494,622934,1261,Furnished,2022,2025-01-17,"Concierge, Study Room, Maid Room, Balcony, Storage",Golf Course View,1,3
DXB00009,Townhouse,Arabian Ranches,1,1,1642,2484346,1513,Semi-Furnished,2011,2025-10-08,"BBQ Area, Steam Room, Swimming Pool, Jacuzzi",Garden View,2,14
DXB00010,Studio,Palm Jumeirah,0,1,502,941752,1876,Unfurnished,2016,2024-12-09,"Pets Allowed, Jacuzzi, Swimming Pool, Balcony, BBQ Area, Sauna, Parking, Garden",Garden View,1,9
DXB00011,Townhouse,The Greens,4,3,3406,5405322,1587,Unfurnished,2021,2025-04-18,"Swimming Pool, Gym, Garden, Childrens Play Area, Maid Room, Security, Steam Room",Garden View,4,4
DXB00012,Villa,Mirdif,6,6,5001,6776355,1355,Unfurnished,2024,2025-02-22,"Swimming Pool, Steam Room, Garden, Balcony, Study Room, Security",Golf Course View,4,1
DXB00013,Penthouse,Al Furjan,4,4,4926,7989972,1622,Semi-Furnished,2013,2025-01-14,"BBQ Area, Concierge, Swimming Pool, Childrens Play Area, Gym",City View,4,12
DXB00014,Studio,JBR (Jumeirah Beach Residence),0,1,397,502999,1267,Furnished,2012,2025-05-12,"Study Room, Jacuzzi, Storage, Garden, Childrens Play Area, Gym, Steam Room, Balcony",Sea View,1,13
DXB00015,Penthouse,Al Furjan,3,2,3499,4660668,1332,Semi-Furnished,2013,2025-06-23,"Sauna, Gym, Concierge, Study Room, Steam Room, Security, Storage, Jacuzzi",City View,4,12
DXB00016,Studio,Mudon,0,1,457,537889,1177,Unfurnished,2011,2025-10-08,"Swimming Pool, Pets Allowed, Maid Room, Parking, Gym, Garden, Jacuzzi, Study Room",Marina View,1,14
DXB00017,Townhouse,Arabian Ranches,2,2,2184,4263168,1952,Unfurnished,2011,2025-04-13,"Garden, Concierge, Pets Allowed, Parking, Storage, Gym",Golf Course View,3,14
